,Book-Title,num_of_ratings,avg_ratings,ISBN,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0,Harry Potter and the Prisoner of Azkaban (Book 3),428,5.852803738317757,0439136350,J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439136350.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439136350.01.LZZZZZZZ.jpg
3,Harry Potter and the Goblet of Fire (Book 4),387,5.8242894056847545,0439139597,J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439139597.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg
5,Harry Potter and the Sorcerer's Stone (Book 1),278,5.737410071942446,0590353403,J. K. Rowling,1998,Scholastic,http://images.amazon.com/images/P/0590353403.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590353403.01.LZZZZZZZ.jpg
9,Harry Potter and the Order of the Phoenix (Book 5),347,5.501440922190202,043935806X,J. K. Rowling,2003,Scholastic,http://images.amazon.com/images/P/043935806X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/043935806X.01.LZZZZZZZ.jpg
13,Harry Potter and the Chamber of Secrets (Book 2),556,5.183453237410072,0439064872,J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439064872.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439064872.01.LZZZZZZZ.jpg
16,The Hobbit : The Enchanting Prelude to The Lord of the Rings,281,5.00711743772242,0345339681,J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339681.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339681.01.LZZZZZZZ.jpg
17,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",368,4.948369565217392,0345339703,J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339703.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339703.01.LZZZZZZZ.jpg
26,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),575,4.895652173913043,059035342X,J. K. Rowling,1999,Arthur A. Levine Books,http://images.amazon.com/images/P/059035342X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg
28,"The Two Towers (The Lord of the Rings, Part 2)",260,4.880769230769231,0345339711,J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339711.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339711.01.LZZZZZZZ.jpg
39,To Kill a Mockingbird,510,4.7,0446310786,Harper Lee,1988,Little Brown &amp; Company,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
47,The Da Vinci Code,898,4.642538975501114,0385504209,Dan Brown,2003,Doubleday,http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
53,The Five People You Meet in Heaven,430,4.551162790697674,0786868716,Mitch Albom,2003,Hyperion,http://images.amazon.com/images/P/0786868716.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg
55,The Catcher in the Rye,449,4.5456570155902005,0316769487,J.D. Salinger,1991,"Little, Brown",http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg
62,The Lovely Bones: A Novel,1295,4.468725868725869,0316666343,Alice Sebold,2002,"Little, Brown",http://images.amazon.com/images/P/0316666343.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg
63,1984,284,4.454225352112676,0451524934,George Orwell,1990,Signet Book,http://images.amazon.com/images/P/0451524934.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg
72,Prodigal Summer: A Novel,253,4.450592885375494,0060959037,Barbara Kingsolver,2001,Perennial,http://images.amazon.com/images/P/0060959037.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060959037.01.LZZZZZZZ.jpg
73,Neverwhere,265,4.449056603773585,0380789019,Neil Gaiman,1998,Avon,http://images.amazon.com/images/P/0380789019.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380789019.01.LZZZZZZZ.jpg
